TagNumber,Make,Year,Expired,TicketProcessing,TicketAll,Insurance,Horsepower,Torque,Length,Width,Weight,EngineSize,ABS,BreakAssist,GPS,CompanyNumber
472-EE,順益,201010,無,0,9,有,204.5kw(278ps),82kg-m,1215,250,15.5,7545,無,引擎排氣煞車,無,2803
473-EE,順益,201010,無,0,10,有,204.5kw(278ps),82kg-m,1215,250,15.5,7545,無,引擎排氣煞車,無,2803
587-YY,國瑞,201405,無,0,0,有,205.9kw(280ps),84kg-m,1220,250,16.0,7684,有,無,無,2803
588-YY,國瑞,201405,無,1,18,有,205.9kw(280ps),84kg-m,1220,250,16.0,7684,有,無,無,2803
589-YY,ISUZU,201403,無,0,11,有,139.7kw(190ps),52.3kg-m,758,235,8.5,5193,有,引擎排氣煞車,無,2803
633-YY,斯堪尼亞,201406,無,0,4,有,無資料,無資料,1220,250,17.0,12740,無,無,無,2803
A5-938,TOYOTA,200401,無,0,18,有,無資料,無資料,699,203,5.29,4104,無,無,無,2803
KAA-0110,國瑞,201604,無,0,0,有,208.88kW(284PS),88kg-m,1220,250,16.0,7684,有,引擎排氣煞車,無,2803
KAA-0111,國瑞,201604,無,0,0,有,208.88kW(284PS),88kg-m,1220,250,16.0,7684,有,引擎排氣煞車,無,2803
018-AA,福方,200402,無,1,8,有,無資料,無資料,1220,250,17.0,10640,無,無,無,2838
